month,hour,year,location,operator,route,type,aboard,fatalities,summary
1,12,1950,"Near Vacas, Bolivia",Military - Bolivian Air Force,Valle grande - Cochabamba,Douglas C-47,32,32,Crashed while en route in the Andes mountains after encountering a thunderstorm.
3,20,1950,"Minneapolis, Minnesota",Northwest Orient Airlines,Rochester Minn. - Minneapolis,Martin 202,13,13,"Crashed into a flag pole, well marked by red neon obstruction lights, on approach in blowing snow.  Pilot's attempt to land visual rather than ILS after visual reference to the ground was lost."
3,14,1950,"Llandow Airport, Cardiff, Wales",Fairflight Ltd.,Llandow - Dublin,Avro 689 Tudor 5,83,80,"During the approach to Runway 28 at Llandow Airport, it appeared to witnesses that the aircraft was going to touch down prematurely. This was followed by an application of power. Climbing to 300 ft. the aircraft stalled and crashed into a field. Due to the placement of luggage in relation to passenger load, the center of gravity was such that there was insufficient elevator control remaining to counteract the rise of the nose upon full application of power."
4,23,1950,"Near Atsugi, Japan",Military - U.S. Air Force,Philippines - Japan,Douglas C-54D,35,35,Flew off its prescribed course and crashed into Mt. Tanzawa in a rainstorm.
5,20,1950,"Lagens Air Force Base, Azores",Military - U.S. Air Force,Bermuda - England,Boeing B-29,16,16,Crashed while attempting to land after being diverted to Lagens due to engine trouble.
5,10,1950,"Myrtle Beach, South Carolina",Military - U.S. Air Force,,Curtiss C-46D,39,39,"Lost the left aileron after taking off, lost control and crashed."
5,17,1950,"Teterboro, New Jersey",Regina Cargo Airlines,,Curtiss C-46F-1-CU,2,1,The cargo plane lost an engine on takeoff and crashed. Overloading of the aircraft due to faulty loading and dispatch procedures coupled with engine malfunctioning due to inadequate maintenance.
6,22,1950,AtlantiOcean off Florida,Westair Transport,San Juan - Wilmington NC,Curtiss C-46-F-1-CU,65,28,"Ditched into the Atlanti300 miles east of Melbourne, Florida on a flight from San Juan, Porto Rico to Wilmington, North Carolina due to failure of both engines. It sank in one of the deepest areas of the Atlantiand could not be recovered. Failure of both engines for reasons unknown."
6,19,1950,"Near Fonseca, Colombia",New Tribes Mission,"Kingston, Jamacia - Maracaibo, Venezuela",Douglas DC-3-178,15,15,Crashed and burned 19 miles east northeast of Fonseca well off course. Cause unknown.
6,21,1950,Off Bahrain,Air France,Saigon - Paris,Douglas DC-4-1009,52,46,"While making a final approach for Bahrain, the aircraft crashed into the sea. The pilot did not keep a accurate check of his altitude and rate of descent during the approach. Crew error, possibly due to fatigue.  An alternate probable cause may been windshear. It was not know at the time that windshear conditions existed at temperature inversion levels for several days after Shamal dust storms. The aircraft may have run out of adequate forward speed at an altitude of 400 feet after descending through a headwind level into a tailwind level when committed to land.  With surface winds relatively calm and in 2,000 meters of sand haze, the winds at 400 ft. may have been in excess of 80 knots."
6,21,1950,Off Bahrain,Air France,Saigon - Paris,Douglas DC-4-1009,53,40,"The aircraft crashed into the Persian Gulf while on approach on a flight from Saigon to Paris. Improper approach. Crew error. An alternate probable cause may been windshear. It was not know at the time that windshear conditions existed at temperature inversion levels for several days after Shamal dust storms. The aircraft may have run out of adequate forward speed at an altitude of 400 feet after descending through a headwind level into a tailwind level when committed to land.  With surface winds relatively calm and in 2,000 meters of sand haze, the winds at 400 ft. may have been in excess of 80 knots."
6,23,1950,"Lake Michigan, 18 NNW of Benton Harbor, Michigan",Northwest Orient Airlines,New York City - Minneapolis-St. Paul,Douglas DC-4,58,58,"En route from New York to Minneapolis, the aircraft crashed into Lake Michigan. The DC-4 was last reported at 3,500 ft. The crash occurred shortly after the aircraft entered an area of severe turbulence with thunderstorm activity. The wreckage was located in 150 feet of water but was not recoverable because it was in 30 feet of silt. The forecast of a squall line in the areas was not made available to the crew. Cause unknown."
6,23,1950,"York, Australia",Ansett ANA,Guildford - Melbourne,Douglas DC-4-1009,29,29,"The airliner experienced trouble with all four engines. The crew attempted to return to Guildford but  in the dark, while in a 15 degree turn to port, the aircraft barely cleared a ridge line, struck a tree 30 feet off the ground and ploughed into a downward slope shredding itself and contents into small pieces. The aircraft was named 'Amana.'"
7,4,1950,"Off O-shima Island, Japan",Military - U.S. Air Force,,Douglas C-47D,26,25,"The aircraft took off from O-shima and reached an altitude of 3,500 feet after which a sudden unexplained descent was made until it crashed into the sea. The surviving witness stated the aircraft hit two moderate bumps followed by dimming of the lights before the descent."
8,22,1950,"Near Fairfield, California",Military - U.S. Air Force,,Boeing B-29MR,20,12,"The No. 2 propeller began to overspeed during the takeoff. This was followed by overspeeding of the No. 3 propeller. The No. 3 propeller was successfully feathered  but then the landing gear would not retract. The aircraft was unable to gain altitude and the pilot slid the aircraft to the left to avoid a trailer park at the end of the runway. The aircraft stalled, fell to the ground and broke-up.  Killed in the accident was Brigadier General Robert E. Travis. The installation was later renamed Travis Air Force Base in his honor."
8,0,1950,"Near Wadi Natrun, Egypt",Trans World Airlines,Cairo - Rome,Lockheed 749A Constellation,55,55,"While en route from Cairo to Rome, witnesses observed the aircraft on fire. After turning back toward Cairo, it crashed and burned. Failure of the rear master rod bearing in the No. 3 engine that led to an uncontrollable fire. The aircraft was named 'Star of Maryland.'"
9,14,1950,"Utica, New York",Robinson Airlines,"Utica, NY - Newark, NJ",Douglas DC-3,23,16,"Engine parts were observed falling from a height of 3,000 feet. Soon after, the plane was seen losing altitude until it crashed into trees 1.5 miles southeast of Oneida County Airport. Failure of the left engine shortly after takeoff coupled with increased drag due to loss of the left cowling and reduced power output of the right engine resulting from the high pitch position of the right propeller."
9,5,1950,"Kwajalein, Marshall Islands",Military - U.S. Navy,Kwajzalein - Tokyo,Douglas R5D-3,26,26,Crashed into the sea and exploded 3 minutes after taking off from Kwajalein. Possible vertigo experienced by the pilot or malfunction of the instruments.
9,1,1950,"Near Kyushu Island, Japan",Military - U.S. Air Force,Ashiya AB - Kimpo AB,Douglas C-54D-DC (DC-4),51,23,Crashed in the Korea strait 1mile from the end of the runway after taking off from Ashiya Air Base.
10,19,1950,"London Heathrow, England",British European Airways,Paris - London,Vickers 610 Viking-1B,30,28,"Crashed in fog in an overshoot after deciding on a go-around. Although it cannot be established with certainty, the probable explanation of the known facts may be that the captain deliberately came down below break-off point and then at 100 ft. or less came into fog which abruptly reduced the visibility of the runway lights and that then and not till then he started overshoot procedure with fatal results."
11,9,1950,"Mont Blanc, France",Air India,Bombay - Cairo - Geneva - London,Lockheed 749 Constellation,48,48,The aircraft crashed in a snowstorm 200 meters below Mont Blansummit. The crew was warned by a Geneva controller to climb immediately. They acknowledged the message but soon after struck the mountain. The exact cause of the accident remains undetermined. Most likely the aircraft was caught in violent gust while trying to overfly the summit. The plane was named 'Malabar Princess.'
11,8,1950,"Butte, Montana",Northwest Orient Airlines,Helena - Butte,Martin 202,21,21,"The pilot failed to follow the carrier's prescribed instrument approach to Butte Airport and crashed into a mountain at about the 8,250 foot level. Captain's failure to follow prescribed approach procedures."
11,18,1950,"Mt.  Tete de L'Obiou, France",Curtiss-Reid Flying Services Ltd. (Canada),Rome - Paris,Douglas C-54B-1-DC,52,52,"The aircraft drifted 50 miles off the prescribed route and struck Mt. Tete de l'Obiou at 6,740 feet. The pilot probably realized the deviation and tried to take corrective action but did not see the mountain in time."
12,13,1950,"Valera, Venezuela",Avensa,Merida - Caracas,Douglas C-47-DL,31,31,"The aircraft crashed into mountains shortly after taking off.  Pilot error. The captain decided to cross the Seven Lagoons mountain range in severe overcast, thinking that he was 30 kms further north, where the range drops to 2,000m. Instead, he flew into 4,000m cliffs. In the last seconds, he realized he was in trouble and tried to gain altitude. For a hundred meters or so he cut through small trees, but finally crashed. A small fire followed."
12,7,1950,"Near Baguio, Philippines",Military - U.S. Air Force,Naha AB - Clark AB,Douglas C54E-DO (DC-4),38,38,"Proceeding on instruments, the aircraft crashed into Mt. Tabayowhile en route.  Navigation error."
12,13,1950,"Penticton, British Columbia, Canada",Canadian PacifiAir Lines,Vancouver - Penticton,Douglas DC-3,18,2,Struck trees on  Mt. Okanagan while making an approach to Penticton. Drifted below the minimum altitude permissible.
