portfolio,fees,num_trades,HODL,rebalanced
NXT-STRAT-DOGE-ZEC-AMP,90.97602593814848,306,9087.364371545698,16538.921913413666
BTC-ETH-NEOS-STRAT-WAVES,87.73955700317573,252,13573.025146685268,20928.260436605073
ETC-BURST-WAVES-IOC-DOGE,91.10497037665348,309,9532.880904599215,16937.665836466178
CURE-LTC-ETH-MONA-EMC,268.5350592200363,312,32939.653575271375,67437.58950517897
SLR-SYS-AMP-AEON-ETH,168.2204563830495,355,15208.659717043523,31427.990457399348
NXS-ETC-DOGE-EXP-STRAT,114.78119065846555,318,11041.838283719746,19773.166178273794
AMP-LSK-CLAM-ENRG-DCR,117.73561034328642,337,19003.1629544894,23945.86305269187
NEO-CLAM-NAV-MONA-DASH,490.82031194854113,324,101549.04139743127,102676.08074652342
AMP-ENRG-CURE-PPC-BTC,105.75828772178168,306,10856.930596215641,19858.82282412958
NXS-LTC-BCY-GRC-SYS,145.67768444296865,323,17175.248197481833,28547.662176601618
BCY-DASH-XLM-CLAM-NXS,155.9759136418561,336,18894.801217744487,30784.07102621196
BURST-BLK-LTC-XLM-BTC,144.58281670464578,295,22403.54215074455,39491.5786957642
NLG-LSK-AUR-CLAM-SLR,125.81682354463,287,15957.629146727808,22321.15248293598
NEO-GRC-IOC-NAV-SBD,468.07542975122794,364,85468.07412421229,70372.8702472725
NEO-PPC-AEON-DOGE-MONA,535.7885264538598,355,100601.48981406145,109756.0014714352
NLG-NXS-STRAT-DOGE-EXP,127.67431202678485,313,11439.664683262228,20496.624436760267
VIA-IOC-EMC-ETH-XLM,222.84109750040412,362,23569.894698164906,48996.17228381182
NAV-LSK-VIA-BLK-SYS,191.3612419341658,313,24888.81109854955,43426.3066861454
NXT-SYS-EMC-NAV-NEOS,239.2430077862193,360,15961.54571163735,39497.12009148243
ZEC-DOGE-AUR-SYS-LSK,111.67885573717477,288,18755.27012717299,27361.32633062767
DGB-ENRG-BLK-SYS-STRAT,126.63968931754056,326,11630.416064383196,24268.157615772114
ETH-MONA-AUR-VTC-NLG,262.007557159158,322,30717.38887651348,53107.233717273804
BCY-SBD-IOC-BTC-BLK,118.02765685244894,298,9202.124673627828,18881.50509814289
PPC-AMP-STRAT-DASH-DCR,77.71461544348952,276,13760.206112415715,19686.40113064907
AUR-SLR-POT-STEEM-PPC,110.97132003577391,289,9663.534853453926,21121.403670729338
POT-ZEC-STRAT-BLK-CURE,103.69406808842602,291,9298.495631156318,19023.023334822894
SBD-NXS-BLK-NXT-ETH,242.94356886511613,331,15306.17114187756,40400.36280710651
SLR-VIA-STEEM-ETH-NEOS,156.77334542807685,325,16190.088512735674,31029.912699507793
LSK-DOGE-DGB-VIA-XRP,168.96025716139013,326,22856.304382097725,39132.67631323032
NXT-ZEC-NEOS-CLOAK-MONA,461.7740157852929,381,36887.43173641623,74080.35756283044
GRC-NAV-BTC-PPC-SYS,116.15638953707375,296,15073.194751512225,26160.010782148784
BCY-BLK-NEO-ENRG-XLM,300.47961600133175,355,88929.31590172224,60045.85699086718
NAV-STRAT-BTC-XCP-BCY,121.08411624566575,293,12233.236674353422,20858.575181558226
DCR-STRAT-NAV-NEO-POT,266.42241881057976,325,89923.27591677064,64705.221072516404
NEOS-LTC-WAVES-ENRG-EXP,126.74561098322333,315,11248.57041815822,19447.78781011873
AUR-VIA-BURST-ENRG-ETH,171.73811980634022,337,15620.576570207326,32761.62749182357
STRAT-SYS-CURE-XLM-VTC,235.43608027365326,337,24256.781298705646,53953.64750816804
NAV-CLOAK-POT-XRP-LSK,329.28385666213967,335,33121.36538401799,64790.397175104656
CLOAK-NLG-ENRG-DGB-ETH,228.14235382322067,358,25295.517361647857,44911.907540382665
NEOS-DASH-NXS-DOGE-BURST,156.54765513723183,313,14704.438384971078,29734.451655212593
MONA-NLG-DCR-NEO-AEON,616.5727529010254,368,104634.37285277431,140597.02502658247
BLK-ETC-SBD-VIA-REP,140.5183659371988,322,11672.618600012946,26011.16729889262
XMR-DGB-XRP-VIA-REP,142.58774162715997,293,18282.897632796306,35994.037021186916
XMR-SYS-XLM-LSK-ETH,175.01998359598852,288,31631.027119890532,54867.213720408734
XRP-IOC-SYS-VTC-ETH,180.59356567034277,321,19532.837492459632,37083.532812365826
ENRG-PPC-CLAM-DOGE-IOC,84.4352407505499,302,7035.687776102031,13571.013920103083
CLAM-ETH-DCR-AUR-NLG,73.07819825056805,259,13953.904159389,20043.02436726653
NLG-ZEC-SBD-VTC-MONA,302.03961436257214,346,28064.159035028693,52581.72269626478
NXS-XRP-SLR-BURST-AMP,182.22703327114496,360,13796.514601807572,29905.785705193513
CURE-NXT-DOGE-NEOS-REP,157.90338860080396,325,10732.00108476012,24884.08259374395
AUR-AEON-DGB-MONA-SBD,465.26544875307667,385,26265.616807032286,74660.62203642758
LSK-XCP-POT-CURE-NEOS,187.99169390920406,332,16963.51655434121,27420.09443362723
IOC-EXP-VTC-CLAM-NXT,189.1876577519067,368,13415.01780844875,22792.309813454965
NXS-NAV-SYS-DCR-NXT,266.3493008524414,356,21707.375819602606,55149.598561275045
AMP-SYS-ETC-AEON-DGB,149.1498573715046,357,13305.334939988174,28772.126276712585
STRAT-DGB-CURE-NAV-EXP,154.3016241393676,313,12819.1356438369,26731.52973169786
POT-VIA-STRAT-EXP-DOGE,108.70026662703398,325,11291.494458741085,18469.26584592021
NEO-VTC-LTC-XCP-BLK,392.4657095503789,346,92637.07483352452,74284.17182881324
CLAM-ENRG-XCP-CLOAK-WAVES,197.7586421284589,355,20821.354125761347,30446.906009906394
ETC-NEO-BTC-SBD-EMC,351.3842259795926,342,87614.24757896946,72628.93162491539
AUR-DASH-STRAT-EMC-NEO,341.65346024285805,338,87934.40787954675,70558.51171026428
XRP-WAVES-SLR-ENRG-DASH,127.2583481229369,305,11542.621599798773,23048.479761931834
PPC-REP-NXS-DGB-ETC,118.93267885350292,320,13286.842972015054,25709.476011618648
CLOAK-NEO-PPC-BTC-DGB,503.7250254347293,361,100601.59449437364,115139.34272012954
XMR-PPC-DOGE-DGB-VTC,129.89183582678075,299,18505.242211845278,31345.00176844425
REP-AEON-VTC-NEO-IOC,589.041099620306,386,92050.3542898584,97454.94053052034
DOGE-CURE-VTC-LTC-NXS,244.83957419760333,335,22637.370469293306,49692.661439368836
BURST-MONA-DGB-XMR-XCP,249.2722312619047,330,28628.367742636572,51389.12471425042
NXS-CLOAK-BTC-AMP-DASH,293.7327205325302,364,28784.995284429315,53783.49564058034
PPC-NAV-AUR-NLG-BCY,95.23593575892212,291,9597.11555023407,16690.298173719188
LSK-NEO-DGB-XLM-SYS,512.30897022904,380,102265.85030704144,133186.62005769138
MONA-IOC-ETH-DOGE-CLAM,160.3554586655317,310,24447.98530007515,30671.807813580246
VTC-EMC-POT-IOC-CLAM,162.69100260797356,342,14930.902790580785,26010.683304513404
DGB-ENRG-NAV-XRP-STEEM,183.80405633480623,337,14443.210873202228,36595.51877761624
SBD-DGB-CURE-BTC-NAV,236.7787651564791,354,15338.19228881048,42905.20117896503
NLG-XCP-CLAM-ETH-NEO,202.28572561559787,310,85205.05930273684,39726.71589565245
ETC-AUR-XLM-ETH-STEEM,111.4079714012846,274,18704.048572818832,31659.369667996827
DASH-LTC-STEEM-NEO-BLK,294.50629588319805,316,90951.36133601892,70291.8076336167
VIA-NLG-XMR-WAVES-NEO,274.5147480000057,303,91210.7124157371,63640.462592897864
EMC-REP-XMR-NEOS-BTC,138.30739227254276,286,16366.026586271182,31573.024728720593
REP-ENRG-NXS-EXP-AUR,169.02237764625025,348,11186.149556851706,26376.32169380448
VIA-DGB-SYS-XRP-DCR,147.3830478535028,317,20651.03740069006,42062.557950958086
BTC-BLK-BCY-ETH-NEO,173.43073182919883,281,87526.86076511441,43961.855587230224
SLR-BCY-XMR-XCP-EXP,99.59274496332644,310,10085.406978802275,15376.477433517284
SBD-NEO-CLAM-EMC-STRAT,342.7971552891399,347,85251.19684460408,63200.919566953184
ETH-PPC-SBD-BURST-BTC,125.6516306391822,280,14388.452509393202,28254.679115273262
AEON-NXT-NEO-SYS-CLAM,433.06128075309346,369,88850.2056475462,78928.33805798947
MONA-AEON-POT-VTC-VIA,461.6756026679708,366,34349.254652702584,81323.23409863356
NAV-IOC-LTC-CLAM-POT,131.48706606163393,302,13354.951830447024,21327.711297817496
NEOS-DCR-LTC-CURE-MONA,239.66543638440436,311,31517.172866170004,56246.288583634254
POT-WAVES-XMR-NEO-BURST,252.79205179704564,317,88489.74074230729,57391.281077154286
BTC-BLK-NAV-DGB-AUR,143.58816639674768,299,13910.19398918107,29434.884809040468
STRAT-MONA-SBD-IOC-CLAM,239.6149117303034,332,21916.252736318405,35190.01585777661
SBD-XCP-REP-IOC-BCY,126.70402607238232,312,7323.15067184869,18150.827574494753
STEEM-WAVES-NEO-CLOAK-NLG,481.8296123403327,345,99124.53056993471,103866.35009442363
NEOS-BTC-XMR-NXS-GRC,147.8682928959302,287,17081.441427865007,28462.847399400707
NXS-WAVES-STEEM-VTC-NEO,530.6930270772417,364,94978.43075687187,108091.04118180004
STEEM-NXT-ETH-MONA-BCY,203.20429657079688,308,27526.511140043534,41740.576566847085
ETH-STEEM-WAVES-CLOAK-EMC,250.2320959264794,342,28824.22923468217,59262.35813627952
EMC-XLM-GRC-PPC-CLAM,103.87345652380057,301,16418.077102965377,24663.451591297875
EMC-SBD-DOGE-XMR-NEOS,172.89805876881994,326,13295.307721707999,30464.27008669157
BTC-WAVES-ETH-DOGE-LSK,91.19128242520874,233,22147.86303043708,27731.439020693826
EXP-SYS-LSK-DCR-CLOAK,237.18953235673868,338,35594.74226669777,57416.277014580526
NAV-AEON-AUR-XLM-ZEC,220.22516093036833,342,19730.31379191674,44785.99582592535
ETC-SLR-XCP-MONA-XLM,240.56338422803032,354,28941.172815548372,44755.816622141545
NEOS-SLR-EXP-WAVES-AMP,95.61968394137202,312,7068.206138461241,13773.926904865948
GRC-LTC-NXS-VTC-POT,225.27628116973122,332,20982.213745288464,40487.72547630506
GRC-SBD-IOC-BLK-XMR,158.90252030001378,319,10961.35625779622,24104.796254701007
NXS-EXP-GRC-BLK-STRAT,134.96156940086115,317,11178.253556585572,20570.598043844177
ETC-ENRG-MONA-REP-DGB,196.6125302220143,340,23852.85640588525,38933.95982426291
BCY-ZEC-AMP-CURE-CLAM,68.94783110483675,301,7287.708717618458,12344.871372936246
XRP-IOC-DOGE-ETC-CURE,105.6001327214353,299,9932.245903601173,19622.092307131927
NXT-BURST-SLR-NAV-XMR,206.2175347590677,313,16812.042076956917,36671.37894944195
NAV-SLR-EXP-AEON-CURE,243.4918781780047,355,13953.313882805489,35279.2029604461
VTC-ETH-VIA-NXS-LTC,266.6982542285753,328,27849.958967033508,60563.58354072275
AMP-ETC-CLOAK-BCY-ETH,124.15904379397519,318,22332.188346998028,24638.762313777435
ETC-BURST-CLAM-SYS-NEO,219.13282858586572,347,86010.12662377438,48341.44550901711
EXP-DASH-NEOS-ETC-BURST,105.27223163710211,308,9960.275831362043,17749.729404381178
LTC-DCR-STRAT-DASH-MONA,177.32487194150383,277,32907.23061129626,52343.621255332386
XMR-STRAT-NXT-BTC-CLAM,103.49166366909859,267,14758.069924492833,22469.871460827304
VIA-DOGE-STRAT-XRP-REP,115.35985360370948,297,13829.086951849149,25353.489026642703
PPC-BTC-VIA-DGB-CLAM,98.32925248011281,293,14983.182687549956,23753.87536422773
EXP-CLOAK-AEON-XLM-NEO,886.6358899165517,408,105475.90999469662,170508.52501079437
SBD-BURST-XCP-GRC-NAV,199.95177800209188,354,11462.871550724363,29186.355806867265
ETC-XCP-POT-XLM-MONA,196.65420077900384,333,28413.701209421386,39018.8177211921
BURST-LSK-SBD-DOGE-CLOAK,335.8163366351735,339,31216.609964842915,63478.37058446514
